Airline,Source,Destination,Duration,Total_Stops,Price,status,Many_Stops,Dep_hour,Arrival_hour,Dep_period,Journey_day,Journey_month,Journey_weekday,Is_weekend,Is_long_flight
Air India,Delhi,Cochin,18.58,2,8875,economy,0,13,7,Afternoon,27,3,2,0,0
Jet Airways,Kolkata,Banglore,12.33,1,10844,economy,0,8,20,Morning,15,5,2,0,0
Air India,Banglore,Delhi,2.75,0,15676,economy,0,6,8,Morning,1,3,4,0,0
Jet Airways,Kolkata,Banglore,15.17,1,7064,economy,0,8,23,Morning,1,4,0,0,0
Jet Airways,Kolkata,Banglore,11.42,1,10844,economy,0,8,19,Morning,9,6,6,1,0
Jet Airways,Mumbai,Hyderabad,26.83,1,19595,economy,0,14,16,Afternoon,6,3,2,0,1
Jet Airways,Kolkata,Banglore,18.17,1,13941,economy,0,14,8,Afternoon,1,5,2,0,0
IndiGo,Delhi,Cochin,7.58,1,6790,economy,0,8,16,Morning,21,3,3,0,0
SpiceJet,Kolkata,Banglore,2.42,0,3841,economy,0,9,11,Morning,27,4,5,1,0
Jet Airways,Banglore,Delhi,21.33,1,11087,economy,0,11,9,Morning,18,3,0,0,0
Air India,Delhi,Cochin,23.5,2,11491,economy,0,19,19,Night,15,5,2,0,0
IndiGo,Banglore,Delhi,2.83,0,3943,economy,0,5,8,Early_Morning,9,4,1,0,0
Jet Airways,Banglore,Delhi,20.0,1,22270,economy,0,11,7,Morning,1,3,4,0,0
Vistara,Banglore,Delhi,2.58,0,4878,economy,0,17,19,Afternoon,9,6,6,1,0
Jet Airways,Delhi,Cochin,5.58,1,14714,economy,0,22,4,Night,9,6,6,1,0
Multiple carriers,Delhi,Cochin,12.33,1,10877,economy,0,6,19,Morning,24,6,0,0,0
Jet Airways,Kolkata,Banglore,16.0,1,14571,economy,0,20,12,Night,24,5,4,0,0
Jet Airways,Kolkata,Banglore,25.83,1,7064,economy,0,18,20,Night,1,4,0,0,1
IndiGo,Kolkata,Banglore,2.58,0,5618,economy,0,15,17,Afternoon,6,3,2,0,0
Multiple carriers,Delhi,Cochin,11.5,1,13727,economy,0,14,1,Afternoon,15,5,2,0,0
Vistara,Delhi,Cochin,3.17,0,4851,economy,0,14,17,Afternoon,1,4,0,0,0
Air India,Kolkata,Banglore,12.67,2,15187,economy,0,9,21,Morning,24,3,6,1,0
GoAir,Banglore,Delhi,2.92,0,3419,economy,0,7,10,Morning,15,5,2,0,0
IndiGo,Banglore,Delhi,2.75,0,3943,economy,0,6,8,Morning,1,4,0,0,0
Jet Airways,Delhi,Cochin,26.92,2,15129,economy,0,9,12,Morning,18,5,5,1,1
IndiGo,Banglore,Delhi,2.83,0,3419,economy,0,0,3,Early_Morning,21,6,4,0,0
Air India,Delhi,Cochin,23.25,2,10861,economy,0,20,19,Night,21,5,1,0,0
IndiGo,Delhi,Cochin,4.92,1,7074,economy,0,5,10,Early_Morning,21,4,6,1,0
Air India,Kolkata,Banglore,29.67,2,11542,economy,0,9,15,Morning,6,5,0,0,1
IndiGo,Delhi,Cochin,5.33,1,6968,economy,0,6,12,Morning,21,4,6,1,0
Jet Airways,Banglore,Delhi,3.0,0,5769,economy,0,17,20,Afternoon,12,6,2,0,0
Vistara,Kolkata,Banglore,26.33,1,7927,economy,0,20,22,Night,12,6,2,0,1
Jet Airways,Kolkata,Banglore,13.33,1,13044,economy,0,18,8,Night,12,6,2,0,0
Jet Airways,Delhi,Cochin,13.5,2,15129,economy,0,23,12,Night,21,5,1,0,0
SpiceJet,Kolkata,Banglore,2.42,0,3841,economy,0,9,11,Morning,1,5,2,0,0
IndiGo,Kolkata,Banglore,2.58,0,4804,economy,0,20,22,Night,24,6,0,0,0
SpiceJet,Banglore,Delhi,2.67,0,4319,economy,0,5,8,Early_Morning,12,4,4,0,0
Jet Airways,Delhi,Cochin,21.17,1,16079,economy,0,21,19,Night,27,5,0,0,0
Jet Airways,Banglore,Delhi,6.25,1,54826,economy,0,22,5,Night,18,3,0,0,0
IndiGo,Delhi,Cochin,8.08,1,12351,economy,0,17,1,Afternoon,9,3,5,1,0
Jet Airways,Kolkata,Banglore,26.17,1,13067,economy,0,17,19,Afternoon,6,5,0,0,1
Jet Airways,Banglore,Delhi,12.75,1,13817,economy,0,18,7,Night,12,3,1,0,0
SpiceJet,Banglore,Delhi,2.92,0,3625,economy,0,21,0,Night,21,5,1,0,0
Air India,Mumbai,Hyderabad,29.58,3,18293,economy,1,9,15,Morning,12,3,1,0,1
Vistara,Banglore,Delhi,2.75,0,5613,economy,0,19,22,Night,1,4,0,0,0
Air India,Delhi,Cochin,26.08,1,11038,economy,0,6,8,Morning,6,3,2,0,1
IndiGo,Banglore,Delhi,2.75,0,4077,economy,0,6,8,Morning,3,4,2,0,0
Multiple carriers,Delhi,Cochin,13.0,1,6883,economy,0,8,21,Morning,27,3,2,0,0
Air India,Banglore,Delhi,2.75,0,19508,economy,0,17,19,Afternoon,3,3,6,1,0
Air India,Banglore,Delhi,14.42,1,8714,economy,0,8,23,Morning,15,3,4,0,0
IndiGo,Kolkata,Banglore,2.58,0,4804,economy,0,4,7,Early_Morning,1,5,2,0,0
Multiple carriers,Delhi,Cochin,7.5,1,15078,economy,0,8,15,Morning,3,3,6,1,0
SpiceJet,Kolkata,Banglore,2.5,0,4807,economy,0,17,19,Afternoon,21,4,6,1,0
Multiple carriers,Delhi,Cochin,9.42,3,21829,economy,1,11,21,Morning,6,3,2,0,0
Vistara,Banglore,Delhi,2.67,0,5403,economy,0,11,14,Morning,24,3,6,1,0
Jet Airways,Banglore,Delhi,9.17,1,26890,economy,0,7,16,Morning,1,3,4,0,0
GoAir,Kolkata,Banglore,8.25,1,7335,economy,0,23,7,Night,18,5,5,1,0
Jet Airways,Delhi,Cochin,10.83,2,9412,economy,0,17,4,Afternoon,27,3,2,0,0
Jet Airways,Kolkata,Banglore,11.42,1,10844,economy,0,8,19,Morning,21,5,1,0,0
IndiGo,Banglore,Delhi,2.92,0,4990,economy,0,18,21,Night,6,6,3,0,0
Jet Airways,Delhi,Cochin,29.33,2,16704,economy,0,23,4,Night,27,5,0,0,1
Air India,Delhi,Cochin,37.33,2,7711,economy,0,5,19,Early_Morning,9,4,1,0,1
Jet Airways,Delhi,Cochin,10.92,1,10262,economy,0,17,4,Afternoon,3,6,0,0,0
Multiple carriers,Delhi,Cochin,8.17,1,6007,economy,0,12,21,Afternoon,24,6,0,0,0
Air India,Kolkata,Banglore,20.0,2,12219,economy,0,9,5,Morning,1,4,0,0,0
GoAir,Banglore,Delhi,2.75,0,3898,economy,0,20,23,Night,1,5,2,0,0
Jet Airways,Kolkata,Banglore,29.08,1,11467,economy,0,17,22,Afternoon,6,5,0,0,1
Air India,Kolkata,Banglore,12.08,2,12534,economy,0,8,20,Morning,18,5,5,1,0
Jet Airways,Kolkata,Banglore,9.83,1,10844,economy,0,8,18,Morning,6,6,3,0,0
SpiceJet,Banglore,Delhi,2.83,0,4377,economy,0,5,8,Early_Morning,24,3,6,1,0
Vistara,Chennai,Kolkata,2.33,0,11982,economy,0,17,20,Afternoon,9,6,6,1,0
SpiceJet,Banglore,Delhi,2.83,0,4423,economy,0,9,12,Morning,9,6,6,1,0
Jet Airways,Delhi,Cochin,9.17,1,17234,economy,0,19,4,Night,3,3,6,1,0
Vistara,Kolkata,Banglore,15.75,1,8295,economy,0,7,22,Morning,1,4,0,0,0
Jet Airways,Delhi,Cochin,38.25,2,15864,economy,0,5,19,Early_Morning,6,3,2,0,1
GoAir,Banglore,Delhi,2.83,0,3398,economy,0,11,14,Morning,27,5,0,0,0
Multiple carriers,Delhi,Cochin,12.5,1,7198,economy,0,13,1,Afternoon,9,6,6,1,0
Jet Airways,Banglore,Delhi,2.75,0,7229,economy,0,6,8,Morning,6,4,5,1,0
Jet Airways,Delhi,Cochin,22.92,2,13014,economy,0,5,4,Early_Morning,12,6,2,0,0
Air India,Kolkata,Banglore,24.0,1,6528,economy,0,14,14,Afternoon,9,5,3,0,0
Jet Airways,Delhi,Cochin,27.0,2,13292,economy,0,9,12,Morning,12,6,2,0,1
Air India,Delhi,Cochin,23.25,2,11071,economy,0,20,19,Night,15,6,5,1,0
SpiceJet,Kolkata,Banglore,2.58,0,4174,economy,0,6,9,Morning,21,4,6,1,0
Multiple carriers,Delhi,Cochin,14.83,1,11299,economy,0,4,18,Early_Morning,27,3,2,0,0
Jet Airways,Delhi,Cochin,16.83,1,12373,economy,0,19,12,Night,18,5,5,1,0
Air India,Banglore,Delhi,27.42,1,13439,economy,0,5,9,Early_Morning,1,3,4,0,1
IndiGo,Kolkata,Banglore,2.58,0,4804,economy,0,20,22,Night,1,5,2,0,0
Air India,Kolkata,Banglore,20.17,2,11642,economy,0,9,5,Morning,12,5,6,1,0
IndiGo,Banglore,Delhi,2.83,0,3419,economy,0,0,3,Early_Morning,18,6,1,0,0
IndiGo,Kolkata,Banglore,5.58,2,6103,economy,0,6,12,Morning,21,5,1,0,0
Air India,Kolkata,Banglore,18.33,2,13033,economy,0,7,1,Morning,9,5,3,0,0
Jet Airways,Banglore,Delhi,7.0,2,11245,economy,0,8,15,Morning,18,3,0,0,0
Jet Airways,Kolkata,Banglore,5.5,1,10056,economy,0,6,12,Morning,1,4,0,0,0
Jet Airways,Kolkata,Banglore,18.0,1,10539,economy,0,20,14,Night,6,6,3,0,0
IndiGo,Chennai,Kolkata,2.33,0,5277,economy,0,22,0,Night,18,3,0,0,0
Air India,Kolkata,Banglore,13.25,1,11936,economy,0,10,23,Morning,21,5,1,0,0
Vistara,Kolkata,Banglore,27.33,1,8820,economy,0,17,20,Afternoon,6,6,3,0,1
Jet Airways,Delhi,Cochin,21.58,1,12373,economy,0,15,12,Afternoon,9,5,3,0,0
Jet Airways,Delhi,Cochin,27.58,1,10262,economy,0,9,12,Morning,1,6,5,1,1
Jet Airways,Mumbai,Hyderabad,1.42,0,4995,economy,0,7,8,Morning,3,6,0,0,0
Jet Airways,Delhi,Cochin,21.92,1,7438,economy,0,21,19,Night,27,3,2,0,0
IndiGo,Kolkata,Banglore,2.83,0,4148,economy,0,5,8,Early_Morning,21,3,3,0,0
IndiGo,Chennai,Kolkata,2.33,0,3597,economy,0,14,17,Afternoon,27,5,0,0,0
Air Asia,Kolkata,Banglore,15.92,1,5192,economy,0,7,23,Morning,1,5,2,0,0
Jet Airways,Banglore,Delhi,12.33,1,16736,economy,0,8,20,Morning,6,3,2,0,0
Multiple carriers,Delhi,Cochin,8.0,1,7933,economy,0,13,21,Afternoon,1,6,5,1,0
Air India,Delhi,Cochin,11.25,1,8879,economy,0,8,19,Morning,18,5,5,1,0
IndiGo,Delhi,Cochin,3.25,0,5000,economy,0,14,17,Afternoon,12,5,6,1,0
Vistara,Kolkata,Banglore,16.08,1,8137,economy,0,17,9,Afternoon,6,5,0,0,0
Air India,Delhi,Cochin,26.33,2,22096,economy,0,16,19,Afternoon,9,3,5,1,1
SpiceJet,Banglore,Delhi,2.83,0,4273,economy,0,5,8,Early_Morning,24,3,6,1,0
Jet Airways,Banglore,Delhi,6.08,1,35185,economy,0,18,0,Night,1,3,4,0,0
IndiGo,Kolkata,Banglore,3.67,1,4226,economy,0,19,23,Night,15,4,0,0,0
Jet Airways,Kolkata,Banglore,7.92,1,10844,economy,0,8,16,Morning,1,5,2,0,0
IndiGo,Mumbai,Hyderabad,1.5,0,2754,economy,0,12,13,Afternoon,12,6,2,0,0
IndiGo,Kolkata,Banglore,5.58,1,6301,economy,0,10,16,Morning,6,6,3,0,0
Air India,Kolkata,Banglore,28.33,2,13222,economy,0,9,13,Morning,18,5,5,1,1
Jet Airways,Delhi,Cochin,19.08,1,12898,economy,0,17,12,Afternoon,21,5,1,0,0
Air India,Banglore,Delhi,13.83,1,12127,economy,0,6,20,Morning,12,3,1,0,0
Jet Airways,Kolkata,Banglore,25.67,1,13067,economy,0,20,22,Night,21,5,1,0,1
Air India,Kolkata,Banglore,27.67,2,9920,economy,0,16,20,Afternoon,1,4,0,0,1
GoAir,Banglore,Delhi,2.92,0,4239,economy,0,7,10,Morning,1,4,0,0,0
Jet Airways,Delhi,Cochin,21.17,1,14714,economy,0,21,19,Night,6,6,3,0,0
IndiGo,Kolkata,Banglore,5.42,1,6218,economy,0,18,23,Night,6,5,0,0,0
IndiGo,Chennai,Kolkata,2.33,0,7295,economy,0,5,7,Early_Morning,1,3,4,0,0
Multiple carriers,Delhi,Cochin,7.67,1,7408,economy,0,3,11,Early_Morning,9,6,6,1,0
Jet Airways,Kolkata,Banglore,8.42,1,13994,economy,0,9,18,Morning,9,6,6,1,0
IndiGo,Kolkata,Banglore,2.5,0,5224,economy,0,14,16,Afternoon,15,5,2,0,0
SpiceJet,Mumbai,Hyderabad,1.33,0,4391,economy,0,5,7,Early_Morning,9,3,5,1,0
Air India,Kolkata,Banglore,19.42,2,14109,economy,0,10,5,Morning,18,5,5,1,0
SpiceJet,Banglore,Delhi,2.83,0,4885,economy,0,9,12,Morning,27,4,5,1,0
Jet Airways,Banglore,Delhi,3.0,0,8016,economy,0,8,11,Morning,1,6,5,1,0
Multiple carriers,Delhi,Cochin,6.58,1,12524,economy,0,6,12,Morning,24,6,0,0,0
Jet Airways,Delhi,Cochin,16.58,1,6017,economy,0,2,18,Early_Morning,27,3,2,0,0
SpiceJet,Banglore,Delhi,2.92,0,3625,economy,0,21,0,Night,1,4,0,0,0
Air India,Delhi,Cochin,38.0,3,15586,economy,1,5,19,Early_Morning,9,3,5,1,1
Air India,Delhi,Cochin,11.25,1,7199,economy,0,8,19,Morning,27,3,2,0,0
Jet Airways,Delhi,Cochin,22.08,2,12273,economy,0,6,4,Morning,21,3,3,0,0
Multiple carriers,Delhi,Cochin,6.5,1,7530,economy,0,19,1,Night,6,6,3,0,0
Jet Airways,Mumbai,Hyderabad,1.5,0,5678,economy,0,19,21,Night,21,5,1,0,0
Air India,Delhi,Cochin,20.75,2,11753,economy,0,10,7,Morning,24,6,0,0,0
SpiceJet,Mumbai,Hyderabad,1.5,0,1965,economy,0,22,0,Night,21,5,1,0,0
IndiGo,Delhi,Cochin,6.67,1,10208,economy,0,6,13,Morning,21,3,3,0,0
IndiGo,Delhi,Cochin,5.08,1,5054,economy,0,20,1,Night,21,5,1,0,0
IndiGo,Delhi,Cochin,7.08,1,14871,economy,0,8,15,Morning,3,3,6,1,0
Jet Airways,Delhi,Cochin,11.92,1,12373,economy,0,7,19,Morning,18,5,5,1,0
SpiceJet,Mumbai,Hyderabad,1.5,0,2017,economy,0,22,0,Night,15,6,5,1,0
Jet Airways,Kolkata,Banglore,14.83,1,10661,economy,0,13,4,Afternoon,24,3,6,1,0
Multiple carriers,Delhi,Cochin,8.67,1,9794,economy,0,10,19,Morning,9,5,3,0,0
Jet Airways,Kolkata,Banglore,27.17,1,13067,economy,0,20,23,Night,9,5,3,0,1
SpiceJet,Chennai,Kolkata,2.33,0,7298,economy,0,17,20,Afternoon,3,3,6,1,0
IndiGo,Banglore,Delhi,2.92,0,7648,economy,0,10,13,Morning,3,3,6,1,0
Air India,Kolkata,Banglore,9.83,2,10676,economy,0,12,21,Afternoon,12,5,6,1,0
Air India,Banglore,Delhi,2.75,0,6961,economy,0,10,12,Morning,3,6,0,0,0
IndiGo,Delhi,Cochin,14.08,1,6979,economy,0,11,1,Morning,15,5,2,0,0
Multiple carriers,Delhi,Cochin,12.0,1,13587,economy,0,9,21,Morning,27,5,0,0,0
Jet Airways,Kolkata,Banglore,9.5,1,10844,economy,0,14,23,Afternoon,24,5,4,0,0
IndiGo,Banglore,Delhi,2.83,0,3943,economy,0,10,13,Morning,12,5,6,1,0
IndiGo,Delhi,Cochin,11.75,1,6838,economy,0,9,21,Morning,12,6,2,0,0
Jet Airways,Delhi,Cochin,6.0,1,6542,economy,0,13,19,Afternoon,15,4,0,0,0
Jet Airways,Delhi,Cochin,11.92,1,12239,economy,0,7,19,Morning,21,5,1,0,0
Jet Airways,Kolkata,Banglore,12.17,1,14388,economy,0,16,4,Afternoon,12,5,6,1,0
IndiGo,Kolkata,Banglore,2.83,0,4148,economy,0,5,8,Early_Morning,12,3,1,0,0
Multiple carriers,Delhi,Cochin,10.42,2,16840,economy,0,15,1,Afternoon,18,5,5,1,0
Multiple carriers,Delhi,Cochin,12.75,1,9646,economy,0,9,22,Morning,3,6,0,0,0
Jet Airways,Kolkata,Banglore,21.08,1,14571,economy,0,21,18,Night,9,6,6,1,0
IndiGo,Delhi,Cochin,9.5,1,7923,economy,0,16,1,Afternoon,15,5,2,0,0
Jet Airways,Kolkata,Banglore,8.67,1,8586,economy,0,20,4,Night,12,5,6,1,0
Multiple carriers,Delhi,Cochin,9.25,1,9646,economy,0,13,22,Afternoon,3,6,0,0,0
Jet Airways,Kolkata,Banglore,21.92,1,14388,economy,0,14,12,Afternoon,18,5,5,1,0
Jet Airways,Kolkata,Banglore,23.83,1,13044,economy,0,16,16,Afternoon,12,6,2,0,0
Multiple carriers,Delhi,Cochin,9.0,1,10197,economy,0,10,19,Morning,21,5,1,0,0
Jet Airways,Delhi,Cochin,23.25,1,14714,economy,0,19,19,Night,1,6,5,1,0
Air India,Delhi,Cochin,9.25,1,9929,economy,0,10,19,Morning,1,6,5,1,0
Jet Airways,Delhi,Cochin,5.58,1,6017,economy,0,22,4,Night,21,3,3,0,0
SpiceJet,Chennai,Kolkata,2.25,0,3597,economy,0,9,12,Morning,27,6,3,0,0
Air India,Delhi,Cochin,9.5,1,5704,economy,0,13,23,Afternoon,21,3,3,0,0
Jet Airways,Delhi,Cochin,8.67,1,14714,economy,0,19,4,Night,3,6,0,0,0
Air India,Banglore,Delhi,2.75,0,5228,economy,0,10,12,Morning,12,5,6,1,0
Jet Airways,Kolkata,Banglore,25.33,1,11467,economy,0,9,10,Morning,1,4,0,0,1
Vistara,Banglore,Delhi,2.83,0,4668,economy,0,9,12,Morning,6,6,3,0,0
IndiGo,Banglore,Delhi,3.0,0,4591,economy,0,21,0,Night,18,4,3,0,0
IndiGo,Banglore,Delhi,3.0,0,3943,economy,0,21,0,Night,12,5,6,1,0
Air India,Banglore,Delhi,2.75,0,5228,economy,0,10,12,Morning,21,4,6,1,0
Jet Airways,Delhi,Cochin,16.58,1,12242,economy,0,2,18,Early_Morning,27,3,2,0,0
Air India,Delhi,Cochin,26.33,2,11185,economy,0,7,9,Morning,9,6,6,1,1
IndiGo,Delhi,Cochin,16.25,1,6573,economy,0,9,1,Morning,9,4,1,0,0
Jet Airways,Kolkata,Banglore,6.08,1,14781,economy,0,16,22,Afternoon,15,5,2,0,0
Air India,Kolkata,Banglore,16.17,2,14960,economy,0,16,8,Afternoon,12,6,2,0,0
IndiGo,Chennai,Kolkata,2.42,0,4332,economy,0,11,14,Morning,15,5,2,0,0
Air Asia,Banglore,Delhi,2.83,0,7652,economy,0,5,8,Early_Morning,3,3,6,1,0
Jet Airways,Kolkata,Banglore,11.5,1,14151,economy,0,9,21,Morning,24,5,4,0,0
SpiceJet,Banglore,Delhi,2.83,0,4319,economy,0,9,12,Morning,12,6,2,0,0
Jet Airways,Delhi,Cochin,23.67,2,10929,economy,0,19,18,Night,21,3,3,0,0
Air India,Kolkata,Banglore,27.0,2,11491,economy,0,7,10,Morning,24,3,6,1,1
IndiGo,Delhi,Cochin,3.25,0,6015,economy,0,14,17,Afternoon,18,4,3,0,0
Jet Airways,Kolkata,Banglore,11.5,1,12692,economy,0,9,21,Morning,12,6,2,0,0
Air Asia,Kolkata,Banglore,2.5,0,4384,economy,0,22,1,Night,9,3,5,1,0
IndiGo,Banglore,Delhi,2.75,0,3943,economy,0,6,8,Morning,3,6,0,0,0
Jet Airways,Delhi,Cochin,10.0,1,12373,economy,0,9,19,Morning,18,5,5,1,0
Jet Airways,Banglore,Delhi,5.25,1,19225,economy,0,8,13,Morning,6,3,2,0,0
Jet Airways,Delhi,Cochin,23.08,1,14053,economy,0,19,18,Night,9,3,5,1,0
Air India,Banglore,Delhi,2.83,0,5911,economy,0,13,16,Afternoon,12,4,4,0,0
Multiple carriers,Delhi,Cochin,12.33,1,10877,economy,0,6,19,Morning,9,6,6,1,0
Jet Airways,Kolkata,Banglore,9.75,1,7757,economy,0,18,4,Night,6,6,3,0,0
IndiGo,Delhi,Cochin,8.58,1,6558,economy,0,7,16,Morning,21,3,3,0,0
IndiGo,Kolkata,Banglore,2.75,0,4804,economy,0,9,12,Morning,21,4,6,1,0
Jet Airways,Mumbai,Hyderabad,1.5,0,5678,economy,0,15,17,Afternoon,18,3,0,0,0
Jet Airways,Delhi,Cochin,18.42,1,12373,economy,0,10,4,Morning,9,5,3,0,0
Jet Airways,Banglore,Delhi,2.75,0,5198,economy,0,6,8,Morning,6,5,0,0,0
IndiGo,Kolkata,Banglore,2.5,0,6064,economy,0,14,16,Afternoon,1,6,5,1,0
Jet Airways,Delhi,Cochin,6.58,1,15029,economy,0,21,4,Night,9,3,5,1,0
Jet Airways,Delhi,Cochin,13.5,2,10909,economy,0,5,19,Early_Morning,9,4,1,0,0
Multiple carriers,Delhi,Cochin,11.08,1,18492,economy,0,8,19,Morning,9,3,5,1,0
Jet Airways,Delhi,Cochin,26.17,1,10262,economy,0,2,4,Early_Morning,24,6,0,0,1
Jet Airways,Kolkata,Banglore,5.75,1,8781,economy,0,11,17,Morning,18,5,5,1,0
IndiGo,Delhi,Cochin,7.58,1,6442,economy,0,8,16,Morning,27,5,0,0,0
Jet Airways,Mumbai,Hyderabad,6.75,1,20120,economy,0,9,16,Morning,12,3,1,0,0
Vistara,Banglore,Delhi,2.75,0,4878,economy,0,19,22,Night,27,5,0,0,0
Jet Airways,Banglore,Delhi,12.67,1,16736,economy,0,5,18,Early_Morning,6,3,2,0,0
SpiceJet,Kolkata,Banglore,7.25,1,9630,economy,0,11,18,Morning,24,5,4,0,0
Vistara,Kolkata,Banglore,11.67,1,8610,economy,0,7,18,Morning,9,5,3,0,0
Vistara,Chennai,Kolkata,2.25,0,3687,economy,0,7,9,Morning,27,6,3,0,0
Vistara,Kolkata,Banglore,12.75,1,8452,economy,0,20,9,Night,15,5,2,0,0
IndiGo,Banglore,Delhi,2.83,0,3943,economy,0,10,13,Morning,18,5,5,1,0
IndiGo,Mumbai,Hyderabad,1.42,0,3342,economy,0,6,7,Morning,15,3,4,0,0
Jet Airways,Kolkata,Banglore,18.0,1,13067,economy,0,20,14,Night,12,5,6,1,0
Vistara,Banglore,Delhi,2.75,0,4878,economy,0,19,22,Night,6,5,0,0,0
Jet Airways,Kolkata,Banglore,12.92,1,14388,economy,0,21,10,Night,9,5,3,0,0
Jet Airways,Delhi,Cochin,15.0,2,16704,economy,0,13,4,Afternoon,27,5,0,0,0
Air India,Mumbai,Hyderabad,1.25,0,3100,economy,0,19,20,Night,21,5,1,0,0
Air India,Banglore,Delhi,24.67,3,13387,economy,1,17,18,Afternoon,12,3,1,0,1
IndiGo,Mumbai,Hyderabad,1.5,0,4049,economy,0,9,10,Morning,9,6,6,1,0
Jet Airways,Delhi,Cochin,13.5,2,13029,economy,0,5,19,Early_Morning,18,5,5,1,0
SpiceJet,Banglore,Delhi,2.92,0,3919,economy,0,21,0,Night,9,4,1,0,0
IndiGo,Chennai,Kolkata,2.42,0,3850,economy,0,5,7,Early_Morning,3,5,4,0,0
Air India,Delhi,Cochin,20.17,2,8839,economy,0,13,9,Afternoon,24,6,0,0,0
Jet Airways,Kolkata,Banglore,12.17,1,7064,economy,0,16,4,Afternoon,1,4,0,0,0
Jet Airways,Kolkata,Banglore,12.25,1,13941,economy,0,20,8,Night,12,5,6,1,0
Air India,Kolkata,Banglore,24.5,3,13007,economy,1,10,10,Morning,24,5,4,0,1
Jet Airways,Kolkata,Banglore,8.5,1,14781,economy,0,14,22,Afternoon,18,5,5,1,0
Jet Airways,Mumbai,Hyderabad,1.5,0,2071,economy,0,19,21,Night,18,3,0,0,0
Jet Airways,Delhi,Cochin,3.25,0,4256,economy,0,11,14,Morning,21,6,4,0,0
Vistara,Banglore,Delhi,2.58,0,7923,economy,0,16,18,Afternoon,9,3,5,1,0
Air Asia,Kolkata,Banglore,2.5,0,3782,economy,0,22,1,Night,15,3,4,0,0
Jet Airways,Kolkata,Banglore,13.33,1,12384,economy,0,20,9,Night,15,5,2,0,0
Multiple carriers,Delhi,Cochin,15.58,1,8565,economy,0,10,1,Morning,21,3,3,0,0
IndiGo,Delhi,Cochin,5.0,1,6232,economy,0,16,21,Afternoon,21,3,3,0,0
IndiGo,Banglore,Delhi,2.83,0,4777,economy,0,5,8,Early_Morning,9,3,5,1,0
Air India,Kolkata,Banglore,2.58,0,4145,economy,0,20,23,Night,1,6,5,1,0
Air Asia,Kolkata,Banglore,12.0,1,5192,economy,0,22,10,Night,15,5,2,0,0
Air India,Delhi,Cochin,2.83,0,4729,economy,0,5,8,Early_Morning,1,4,0,0,0
IndiGo,Delhi,Cochin,14.33,1,6093,economy,0,6,21,Morning,3,6,0,0,0
Air India,Kolkata,Banglore,9.08,1,8891,economy,0,9,18,Morning,1,5,2,0,0
Jet Airways,Delhi,Cochin,12.42,1,12242,economy,0,16,4,Afternoon,27,3,2,0,0
Jet Airways,Kolkata,Banglore,25.0,1,11467,economy,0,17,18,Afternoon,1,5,2,0,1
Jet Airways,Kolkata,Banglore,12.17,1,14781,economy,0,21,9,Night,21,5,1,0,0
Multiple carriers,Delhi,Cochin,12.0,1,10197,economy,0,7,19,Morning,18,5,5,1,0
Jet Airways,Banglore,Delhi,12.08,1,17261,economy,0,21,9,Night,6,3,2,0,0
Air India,Delhi,Cochin,12.75,1,7480,economy,0,20,9,Night,1,5,2,0,0
IndiGo,Kolkata,Banglore,2.58,0,4804,economy,0,15,18,Afternoon,21,5,1,0,0
SpiceJet,Kolkata,Banglore,2.42,0,4439,economy,0,9,11,Morning,21,4,6,1,0
SpiceJet,Delhi,Cochin,5.17,1,6065,economy,0,6,11,Morning,21,3,3,0,0
Jet Airways,Kolkata,Banglore,9.75,1,8586,economy,0,18,4,Night,24,5,4,0,0
IndiGo,Delhi,Cochin,3.08,0,5406,economy,0,14,17,Afternoon,18,3,0,0,0
Jet Airways,Delhi,Cochin,10.0,2,12142,economy,0,18,4,Night,6,6,3,0,0
Jet Airways,Delhi,Cochin,10.33,1,14714,economy,0,2,12,Early_Morning,6,6,3,0,0
Jet Airways,Delhi,Cochin,26.17,1,10262,economy,0,2,4,Early_Morning,15,6,5,1,1
Air India,Banglore,Delhi,12.08,1,15434,economy,0,11,23,Morning,6,3,2,0,0
Air India,Kolkata,Banglore,23.17,2,10676,economy,0,12,11,Afternoon,18,5,5,1,0
IndiGo,Kolkata,Banglore,2.58,0,4804,economy,0,20,22,Night,21,4,6,1,0
Jet Airways,Delhi,Cochin,17.08,2,13014,economy,0,19,12,Night,9,6,6,1,0
IndiGo,Banglore,Delhi,2.83,0,3943,economy,0,10,13,Morning,3,5,4,0,0
Air India,Mumbai,Hyderabad,16.5,2,9678,economy,0,5,22,Early_Morning,6,3,2,0,0
Jet Airways,Kolkata,Banglore,11.42,1,14781,economy,0,8,19,Morning,15,5,2,0,0
Multiple carriers,Delhi,Cochin,10.0,1,10197,economy,0,9,19,Morning,15,5,2,0,0
Air India,Delhi,Cochin,13.33,2,10861,economy,0,5,19,Early_Morning,9,5,3,0,0
Jet Airways,Kolkata,Banglore,7.5,1,10844,economy,0,21,4,Night,1,5,2,0,0
Air India,Delhi,Cochin,16.08,1,7480,economy,0,17,9,Afternoon,21,5,1,0,0
IndiGo,Delhi,Cochin,8.33,1,5684,economy,0,17,1,Afternoon,24,6,0,0,0
Jet Airways,Delhi,Cochin,27.0,1,14714,economy,0,16,19,Afternoon,6,6,3,0,1
Jet Airways,Kolkata,Banglore,8.42,1,9314,economy,0,9,18,Morning,1,4,0,0,0
